Date,Exchange Rate (USD/INR),Exchange_Rate_Lag_1,Exchange_Rate_Lag_3,Exchange_Rate_MA_3,Exchange_Rate_Volatility_7,Exchange_Rate_Percent_Change,NIFTY,S&P500,NIFTY_Lag_1,SP500_Lag_1,NIFTY_Percent_Change,SP500_Percent_Change,Interest Rate USA,Interest Rate India,Inflation_Rate_India,Inflation_Rate_US,GDP Rate India,GDP Rate USA,GDP_India_Change,GDP_USA_Change,Exports,Imports,Unemployment_Rate_India,US_Unemployment_Rate,Dollar_Index,Dollar_Index_Percent_Change
2024-02-26,82.826,82.839,82.839,82.83466666666666,0.013676830663079367,-0.000156930914183,22122.05,5069.53,22212.7,5088.8,-0.0040809987079464,-0.0037867473667663,4.48,6.75,5.22,1.3609765531356006,4.171330722922843,2.3,0.6000000000000005,8.068457101577723,3106.7,7289.7,2.2082744135228043,0.11113688167589435,127.814,0.0101246395206304
2024-02-27,82.857,82.826,82.839,82.84066666666666,0.01436871396250834,0.0003742786081666,22198.35,5078.18,22122.05,5069.53,0.0034490474436139,0.0017062725735916,4.48,6.75,5.22,1.3609765531356006,4.171330722922843,2.3,0.6000000000000005,8.068457101577723,3106.7,7289.7,2.2082744135228043,0.11113688167589435,127.814,0.0101246395206304
2024-02-28,82.859,82.857,82.839,82.84733333333332,0.011641653339718044,2.4137972651550044e-05,21951.15,5069.76,22198.35,5078.18,-0.0111359628080464,-0.0016580743494716,4.48,6.75,5.22,1.3609765531356006,4.171330722922843,2.3,0.6000000000000005,8.068457101577723,3106.7,7289.7,2.2082744135228043,0.11113688167589435,127.814,0.0101246395206304
2024-02-29,82.88,82.859,82.826,82.86533333333334,0.017047638218953217,0.0002534425952522,21982.8,5096.27,21951.15,5069.76,0.0014418378991531,0.0052290443729092,4.48,6.75,5.22,1.3609765531356006,4.171330722922843,2.3,0.6000000000000005,8.068457101577723,3106.7,7289.7,2.2082744135228043,0.11113688167589435,127.814,0.0101246395206304
2024-03-01,82.823,82.88,82.857,82.854,0.01905686178280374,-0.0006877413127412,22338.75,5137.08,21982.8,5096.27,0.0161922048146734,0.0080078174821975,4.48,6.75,5.22,1.3609765531356006,4.171330722922843,2.3,0.6000000000000005,8.068457101577723,3106.7,7289.7,2.128231705849268,0.11113688167589435,127.814,0.0101246395206304
2024-03-02,82.823,82.823,82.859,82.84199999999998,0.02060062597553263,0.0,22338.75,5137.08,21982.8,5096.27,0.0161922048146734,0.0080078174821975,4.48,6.75,5.22,1.3609765531356006,4.171330722922843,2.3,0.6000000000000005,8.068457101577723,3106.7,7289.7,2.128231705849268,0.11113688167589435,127.814,0.0101246395206304
2024-03-03,82.823,82.823,82.88,82.823,0.021791830419346545,0.0,22338.75,5137.08,21982.8,5096.27,0.0161922048146734,0.0080078174821975,4.48,6.75,5.22,1.3609765531356006,4.171330722922843,2.3,0.6000000000000005,8.068457101577723,3106.7,7289.7,2.128231705849268,0.11113688167589435,127.814,0.0101246395206304
2024-03-04,82.859,82.823,82.823,82.835,0.021499806932693398,0.0004346618692874,22405.6,5130.95,22338.75,5137.08,0.0029925577751663,-0.0011932849011501,4.48,6.75,5.22,1.3609765531356006,4.171330722922843,2.3,0.6000000000000005,8.068457101577723,3106.7,7289.7,2.128231705849268,0.11113688167589435,127.814,0.0101246395206304
2024-03-05,82.871,82.859,82.823,82.851,0.022904563169527135,0.000144824340144,22356.3,5078.65,22405.6,5130.95,-0.0022003427714499,-0.0101930441731064,4.48,6.75,5.22,1.3609765531356006,4.171330722922843,2.3,0.6000000000000005,8.068457101577723,3106.7,7289.7,2.128231705849268,0.11113688167589435,127.814,0.0101246395206304
2024-03-06,82.762,82.871,82.823,82.83066666666666,0.03549748361445344,-0.0013152972692497,22474.05,5104.76,22356.3,5078.65,0.0052669717260906,0.0051411300247115,4.48,6.75,5.22,1.3609765531356006,4.171330722922843,2.3,0.6000000000000005,8.068457101577723,3106.7,7289.7,2.128231705849268,0.11113688167589435,127.814,0.0101246395206304
