Date,Exchange Rate (USD/INR),Exchange_Rate_Lag_1,Exchange_Rate_Lag_3,Exchange_Rate_Lag_7,Exchange_Rate_MA_3,Exchange_Rate_MA_7,Exchange_Rate_Volatility_7,Exchange_Rate_Percent_Change,NIFTY,S&P500,NIFTY_Lag_1,SP500_Lag_1,NIFTY_Lag_3,SP500_Lag_3,NIFTY_Lag_7,SP500_Lag_7,NIFTY_MA_3,SP500_MA_3,NIFTY_MA_7,SP500_MA_7,NIFTY_Percent_Change,SP500_Percent_Change,Interest Rate USA,Interest Rate India,Interest_Rate_India_Change,Interest_Rate_US_Change,Inflation_Rate_India,Inflation_Rate_US,Inflation_India_Change,Inflation_USA_Change,GDP Rate India,GDP Rate USA,GDP_India_Change,GDP_USA_Change,Exports,Imports,Balance,Exports_Percent_Change,Imports_Percent_Change,Trade_Balance_Percent_Change,Unemployment_Rate_India,US_Unemployment_Rate,Unemployment_India_Change,Unemployment_USA_Change,Dollar_Index,Dollar_Index_Percent_Change
2015-01-11,62.11,62.11,62.668,63.27,62.11,62.73957142857143,0.6484802379777199,0.0,8284.5,2044.8,8234.6,2062.1,8127.35,2002.6,8395.45,2058.2,8207.066666666668,2044.2666666666667,8263.628571428571,2034.642857142857,0.006059796468559364,-0.008389505843557465,0.12,7.75,0.0,0.0,5.41,0.5,0.41000000000000014,0.3,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1580.2,3273.5,-1693.3,-0.13626673954632407,-0.1560751759519452,-0.17375817312384123,7.8,5.7,-0.20000000000000018,-0.20000000000000018,111.6916,0.01626880284176302
2015-01-12,62.068,62.11,62.11,63.338,62.096000000000004,62.558142857142855,0.6305601817885169,-0.000676219610368678,8323.0,2028.3,8284.5,2044.8,8102.1,2025.9,8395.45,2058.2,8280.699999999999,2045.0666666666664,8263.628571428571,2034.642857142857,0.004647232784114941,-0.00806924882629112,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-13,61.973,62.068,62.11,63.568,62.05033333333333,62.330285714285715,0.47342465584497584,-0.0015305793645679078,8299.4,2023.0,8323.0,2028.3,8234.6,2062.1,8395.45,2058.2,8302.300000000001,2032.0333333333335,8249.907142857142,2029.6142857142856,-0.0028355160398895185,-0.0026130256865355417,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-14,62.088,61.973,62.11,63.273,62.043000000000006,62.161,0.228828174256065,0.0018556468139352411,8277.55,2011.3,8299.4,2023.0,8284.5,2044.8,8378.4,2020.6,8299.983333333332,2020.8666666666666,8235.5,2028.2857142857142,-0.0026327204376220825,-0.005783489866534874,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-15,62.055,62.088,62.068,62.668,62.038666666666664,62.07342857142857,0.04946331011620267,-0.0005315036722072231,8494.15,1992.7,8277.55,2011.3,8323.0,2028.3,8127.35,2002.6,8357.033333333333,2009.0,8287.9,2026.8714285714286,0.026167162989048753,-0.009247750211306083,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-16,61.61,62.055,61.973,62.11,61.91766666666667,62.001999999999995,0.1790688880478709,-0.007171057932479297,8513.8,2019.4,8494.15,1992.7,8299.4,2023.0,8102.1,2025.9,8428.499999999998,2007.8,8346.714285714286,2025.9428571428573,0.002313356839707348,0.013398906006925282,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-17,61.61,61.61,62.088,62.11,61.75833333333333,61.93057142857143,0.22311421375830776,0.0,8513.8,2019.4,8494.15,1992.7,8299.4,2023.0,8102.1,2025.9,8428.499999999998,2007.8,8346.714285714286,2025.9428571428573,0.002313356839707348,0.013398906006925282,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-18,61.61,61.61,62.055,62.11,61.61,61.85914285714286,0.2357742059482179,0.0,8513.8,2019.4,8494.15,1992.7,8299.4,2023.0,8102.1,2025.9,8428.499999999998,2007.8,8346.714285714286,2025.9428571428573,0.002313356839707348,0.013398906006925282,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-19,61.638,61.61,61.61,62.068,61.61933333333334,61.797714285714285,0.22818319707771914,0.00045447167667589383,8513.8,2019.4,8494.15,1992.7,8299.4,2023.0,8102.1,2025.9,8428.499999999998,2007.8,8346.714285714286,2025.9428571428573,0.002313356839707348,0.013398906006925282,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-20,61.648,61.638,61.61,61.973,61.632,61.751285714285714,0.21947111752713613,0.00016223758071332028,8695.6,2022.5,8513.8,2019.4,8277.55,2011.3,8234.6,2062.1,8567.849999999999,2011.5333333333335,8412.57142857143,2020.2857142857142,0.021353567149803965,0.0015351094384470354,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-21,61.553,61.648,61.61,62.088,61.613,61.67485714285714,0.1703216844401083,-0.0015410070075266846,8729.5,2032.1,8695.6,2022.5,8494.15,1992.7,8284.5,2044.8,8646.300000000001,2024.6666666666667,8476.142857142857,2018.4714285714288,0.003898523391140385,0.004746600741656337,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-22,61.598,61.553,61.638,62.055,61.59966666666667,61.60957142857143,0.030604232512181605,0.0007310772829918211,8761.4,2063.2,8729.5,2032.1,8513.8,2019.4,8323.0,2028.3,8728.833333333334,2039.2666666666664,8538.771428571428,2023.4571428571428,0.003654275731714174,0.015304364942670068,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-23,61.455,61.598,61.648,61.61,61.535333333333334,61.587428571428575,0.06592889387560111,-0.0023215039449332453,8835.6,2051.8,8761.4,2063.2,8695.6,2022.5,8299.4,2023.0,8775.5,2049.0333333333333,8615.371428571429,2027.5714285714287,0.008468966146962797,-0.005525397440868329,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-24,61.455,61.455,61.553,61.61,61.50266666666667,61.565285714285714,0.08131771903228334,0.0,8835.6,2051.8,8761.4,2063.2,8695.6,2022.5,8299.4,2023.0,8775.5,2049.0333333333333,8615.371428571429,2027.5714285714287,0.008468966146962797,-0.005525397440868329,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
2015-01-25,61.455,61.455,61.598,61.61,61.455,61.543142857142854,0.08794587079857054,0.0,8835.6,2051.8,8761.4,2063.2,8695.6,2022.5,8299.4,2023.0,8775.5,2049.0333333333333,8615.371428571429,2027.5714285714287,0.008468966146962797,-0.005525397440868329,0.24,7.75,0.0,0.12,5.61,0.7,0.20000000000000018,0.19999999999999996,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1544.8,3014.5,-1469.7,-0.022402227566130972,-0.07912020772873074,-0.13204984350085625,7.8,5.7,-0.20000000000000018,-0.20000000000000018,112.7857,0.009795723223590791
